Day,Occupant's Activity,Occupant's Zone,Zone Arrival Time (Minute),Zone Leaving Time (Minute),Stay Duration (Minute)
1,1,0,0,871,872
1,4,2,872,872,1
1,1,0,873,875,3
1,6,4,876,877,2
1,9,3,878,884,7
1,10,2,885,888,4
1,12,1,889,899,11
1,14,3,900,900,1
1,1,0,901,1439,539
2,1,0,0,521,522
2,6,4,522,523,2
2,9,3,524,529,6
2,10,2,530,534,5
2,13,3,535,535,1
2,12,1,536,543,8
2,14,3,544,1045,502
2,1,0,1046,1056,11
2,6,4,1057,1057,1
2,9,3,1058,1064,7
2,10,2,1065,1069,5
2,12,1,1070,1071,2
2,13,3,1072,1077,6
2,12,1,1078,1081,4
2,14,3,1082,1084,3
2,1,0,1085,1439,355
3,1,0,0,879,880
3,6,4,880,881,2
3,9,3,882,887,6
3,10,2,888,892,5
3,12,1,893,893,1
3,13,3,894,900,7
3,12,1,901,904,4
3,14,3,905,981,77
3,1,0,982,983,2
3,4,2,984,984,1
3,1,0,985,992,8
3,6,4,993,993,1
3,9,3,994,1001,8
3,10,2,1002,1006,5
3,12,1,1007,1007,1
3,13,3,1008,1012,5
3,12,1,1013,1019,7
3,14,3,1020,1021,2
3,1,0,1022,1439,418
4,1,0,0,694,695
4,4,2,695,695,1
4,1,0,696,699,4
4,6,4,700,701,2
4,9,3,702,708,7
4,10,2,709,711,3
4,12,1,712,712,1
4,13,3,713,721,9
4,1,0,722,1439,718
5,1,0,0,511,512
5,4,2,512,512,1
5,1,0,513,515,3
5,6,4,516,517,2
5,9,3,518,524,7
5,10,2,525,528,4
5,12,1,529,538,10
5,14,3,539,859,321
5,1,0,860,860,1
5,4,2,861,861,1
5,1,0,862,867,6
5,6,4,868,868,1
5,9,3,869,875,7
5,10,2,876,880,5
5,12,1,881,890,10
5,14,3,891,892,2
5,1,0,893,1439,547
6,1,0,0,529,530
6,6,4,530,531,2
6,9,3,532,536,5
6,10,2,537,1047,511
6,1,0,1048,1048,1
6,4,2,1049,1049,1
6,1,0,1050,1052,3
6,6,4,1053,1054,2
6,9,3,1055,1060,6
6,10,2,1061,1064,4
6,12,1,1065,1072,8
6,14,3,1073,1073,1
6,1,0,1074,1439,366
7,1,0,0,875,876
7,4,2,876,876,1
7,1,0,877,882,6
7,6,4,883,885,3
7,9,3,886,892,7
7,10,2,893,895,3
7,12,1,896,897,2
7,13,3,898,899,2
7,12,1,900,902,3
7,14,3,903,991,89
7,1,0,992,993,2
7,4,2,994,994,1
7,1,0,995,999,5
7,6,4,1000,1001,2
7,9,3,1002,1007,6
7,10,2,1008,1011,4
7,12,1,1012,1012,1
7,13,3,1013,1013,1
7,12,1,1014,1017,4
7,14,3,1018,1018,1
7,1,0,1019,1439,421
8,1,0,0,859,860
8,4,2,860,860,1
8,1,0,861,865,5
8,6,4,866,867,2
8,9,3,868,874,7
8,10,2,875,879,5
8,12,1,880,880,1
8,13,3,881,881,1
8,12,1,882,886,5
8,14,3,887,889,3
8,1,0,890,1439,550
9,1,0,0,507,508
9,4,2,508,510,3
9,1,0,511,514,4
9,6,4,515,516,2
9,9,3,517,521,5
9,10,2,522,525,4
9,12,1,526,526,1
9,13,3,527,528,2
9,12,1,529,533,5
9,14,3,534,682,149
9,1,0,683,684,2
9,4,2,685,685,1
9,1,0,686,691,6
9,6,4,692,693,2
9,9,3,694,698,5
9,10,2,699,702,4
9,12,1,703,703,1
9,13,3,704,708,5
9,12,1,709,712,4
9,14,3,713,714,2
9,1,0,715,1439,725
10,1,0,0,1039,1040
10,4,2,1040,1040,1
10,1,0,1041,1044,4
10,6,4,1045,1052,8
10,10,2,1053,1056,4
10,12,1,1057,1057,1
10,13,3,1058,1062,5
10,12,1,1063,1066,4
10,14,3,1067,1068,2
10,1,0,1069,1439,371
11,1,0,0,864,865
11,4,2,865,865,1
11,1,0,866,870,5
11,6,4,871,872,2
11,9,3,873,878,6
